method,k,features,r2,mse
SBS (Bwd),11,"lstat, rm, ptratio, b, dis, nox, chas, crim, rad, tax, zn",0.6715231799608913,24.088447893940423
SBS (Bwd),12,"lstat, rm, ptratio, b, dis, nox, chas, crim, rad, tax, zn, indus",0.6702228274016814,24.183807666549495
SBS (Bwd),13,"lstat, rm, ptratio, b, dis, nox, chas, crim, rad, tax, zn, indus, age",0.6687594935356316,24.291119474973545
Lasso (L1),1,rm,0.3707569232254778,46.144775347317264
Lasso (L1),2,"rm, dis",0.3948060231325966,44.38116386952767
Lasso (L1),3,"rm, dis, ptratio",0.4923274054239193,37.22955196708085
Lasso (L1),4,"rm, dis, ptratio, lstat",0.6347923449246611,26.78205898578493
Lasso (L1),5,"rm, dis, ptratio, lstat, rad",0.6243619896324208,27.546956399071192
Lasso (L1),6,"rm, dis, ptratio, lstat, rad, crim",0.6190042908644411,27.93985671876055
Lasso (L1),7,"rm, dis, ptratio, lstat, rad, crim, zn",0.6340585080120372,26.835874022810323
Lasso (L1),8,"rm, dis, ptratio, lstat, rad, crim, zn, tax",0.6687723579841028,24.29017607629888
Lasso (L1),9,"rm, dis, ptratio, lstat, rad, crim, zn, tax, b",0.649253650618659,25.721556729806142
Lasso (L1),10,"rm, dis, ptratio, lstat, rad, crim, zn, tax, b, age",0.6466505256320879,25.91245373311056
Lasso (L1),11,"rm, dis, ptratio, lstat, rad, crim, zn, tax, b, age, nox",0.6661445163309079,24.48288564627394
Lasso (L1),12,"rm, dis, ptratio, lstat, rad, crim, zn, tax, b, age, nox, indus",0.6640648675861129,24.635394156374378
Lasso (L1),13,"rm, dis, ptratio, lstat, rad, crim, zn, tax, b, age, nox, indus, chas",0.668759493535632,24.291119474973513
Random Forest,1,rm,0.3707569232254778,46.144775347317264
Random Forest,2,"rm, lstat",0.5739577415025858,31.243290601783627
Random Forest,3,"rm, lstat, dis",0.5736462018536892,31.26613698284166
Random Forest,4,"rm, lstat, dis, crim",0.554736327074955,32.65286963945421
Random Forest,5,"rm, lstat, dis, crim, ptratio",0.619107828069865,27.932263943788975
Random Forest,6,"rm, lstat, dis, crim, ptratio, tax",0.6209776146061445,27.795145423381356
Random Forest,7,"rm, lstat, dis, crim, ptratio, tax, nox",0.6408358373130321,26.33886682544506
Random Forest,8,"rm, lstat, dis, crim, ptratio, tax, nox, age",0.6398034066650795,26.414578870710088
Random Forest,9,"rm, lstat, dis, crim, ptratio, tax, nox, age, b",0.6163340361139189,28.135676601618165
Random Forest,10,"rm, lstat, dis, crim, ptratio, tax, nox, age, b, indus",0.6169372654376655,28.091439513194594
Random Forest,11,"rm, lstat, dis, crim, ptratio, tax, nox, age, b, indus, rad",0.6452538473507273,26.01487743534059
Random Forest,12,"rm, lstat, dis, crim, ptratio, tax, nox, age, b, indus, rad, zn",0.6640648675861129,24.63539415637437
Random Forest,13,"rm, lstat, dis, crim, ptratio, tax, nox, age, b, indus, rad, zn, chas",0.6687594935356321,24.29111947497351
